symptom,age,value,label
cough,90s,-0.03019773605005839,-3%
fever,90s,0.05130272720328871,+5%
sneezing,90s,-0.02279591029188769,-2%
throatache,90s,-0.022625034795695054,-2%
asymptomatic,90s,-0.019197419686639308,-2%
dysnosmia,90s,-0.01600893018928812,-2%
fatigue,90s,0.09772104462449711,+10%
soreness,90s,-0.01364281579415806,-1%
headache,90s,0.1161528927431533,+12%
dysgeusia,90s,-0.011792813620656243,-1%
cough,80s,0.03828045565980624,+4%
fever,80s,0.042920740993594636,+4%
sneezing,80s,0.060659080279741324,+6%
throatache,80s,-0.03924487642755675,-4%
asymptomatic,80s,-0.033299412360393424,-3%
dysnosmia,80s,-0.027768730200385124,-3%
fatigue,80s,0.03927663943756932,+4%
soreness,80s,-0.023664521394129535,-2%
headache,80s,-0.02173736725456677,-2%
dysgeusia,80s,-0.020455549238046766,-2%
cough,70s,-0.01746096547047473,-2%
fever,70s,0.08728780377761737,+9%
sneezing,70s,-0.07725315097777553,-8%
throatache,70s,0.00657653950192047,+1%
asymptomatic,70s,-0.059795714062744636,-6%
dysnosmia,70s,-0.04325420668414194,-4%
fatigue,70s,-0.010235752489863036,-1%
soreness,70s,0.027552312956355178,+3%
headache,70s,-0.05383819020581646,-5%
dysgeusia,70s,-0.05066343765301365,-5%
cough,60s,0.10809868958809533,+11%
fever,60s,0.049405657901008905,+5%
sneezing,60s,-0.07874647595141691,-8%
throatache,60s,-0.003781908323809915,-0%
asymptomatic,60s,-0.041537456090012276,-4%
dysnosmia,60s,-0.10866455243846938,-11%
fatigue,60s,0.011473858353322196,+1%
soreness,60s,0.1312527661968605,+13%
headache,60s,-0.07874452031225405,-8%
dysgeusia,60s,-0.07211648084693426,-7%
cough,50s,0.09042709587893244,+9%
fever,50s,0.13248554788892333,+13%
sneezing,50s,-0.07486252079386356,-7%
throatache,50s,0.013717484368501752,+1%
asymptomatic,50s,-0.11289714709412892,-11%
dysnosmia,50s,-0.05029446563857547,-5%
fatigue,50s,0.0066820447174447024,+1%
soreness,50s,-0.002438087004056875,-0%
headache,50s,-0.016202030070473945,-2%
dysgeusia,50s,-0.03835606156070499,-4%
cough,40s,-0.0725552946623771,-7%
fever,40s,0.015211732198592374,+2%
sneezing,40s,-0.06551849622567403,-7%
throatache,40s,-0.0003512986344691611,-0%
asymptomatic,40s,0.051019464819667945,+5%
dysnosmia,40s,-0.006817797721721542,-1%
fatigue,40s,-0.02972933201179706,-3%
soreness,40s,-0.0396933178064859,-4%
headache,40s,-0.023302874494481943,-2%
dysgeusia,40s,0.05367685035008463,+5%
cough,30s,-0.04219845272949473,-4%
fever,30s,-0.04187563891210367,-4%
sneezing,30s,0.03348897515722726,+3%
throatache,30s,0.01477223772311612,+1%
asymptomatic,30s,0.05995506610133205,+6%
dysnosmia,30s,0.06991014943190804,+7%
fatigue,30s,0.04503701900758221,+5%
soreness,30s,0.020274135226418903,+2%
headache,30s,-0.01387232565549166,-1%
dysgeusia,30s,0.030216631654097645,+3%
cough,20s,-0.005646183168250624,-1%
fever,20s,-0.1621430923723368,-16%
sneezing,20s,0.14077097213411527,+14%
throatache,20s,0.008387028478138367,+1%
asymptomatic,20s,0.03535432411057708,+4%
dysnosmia,20s,0.06546532629491486,+7%
fatigue,20s,-0.017271826234883065,-2%
soreness,20s,-0.0689702227185507,-7%
headache,20s,0.04847298731836108,+5%
dysgeusia,20s,0.024494307236466388,+2%
cough,10s,-0.027939884942940873,-3%
fever,10s,0.043325401097231014,+4%
sneezing,10s,-0.018389093875429533,-2%
throatache,10s,-0.032987176149093786,-3%
asymptomatic,10s,0.012860292760703192,+1%
dysnosmia,10s,-0.012588631253816287,-1%
fatigue,10s,-0.043440663875282316,-4%
soreness,10s,0.010729283387648742,+1%
headache,10s,0.1177246400657834,+12%
dysgeusia,10s,0.007363956063749132,+1%
cough,100s,,0%
fever,100s,,0%
sneezing,100s,,0%
throatache,100s,,0%
asymptomatic,100s,,0%
dysnosmia,100s,,0%
fatigue,100s,,0%
soreness,100s,,0%
headache,100s,,0%
dysgeusia,100s,,0%
cough,0s,-0.06772163014964722,-7%
fever,0s,0.11505181420123936,+12%
sneezing,0s,-0.05112224979888083,-5%
throatache,0s,-0.050739043351363936,-5%
asymptomatic,0s,-0.0430522524500187,-4%
dysnosmia,0s,-0.03590172612851847,-4%
fatigue,0s,-0.03340474654381359,-3%
soreness,0s,-0.030595463311560128,-3%
headache,0s,-0.02810387800583172,-3%
dysgeusia,0s,-0.026446636963709164,-3%
