symptom,age,corr,count
cough,>100s,,0
fever,>100s,,0
sneezing,>100s,,0
throatache,>100s,,0
asymptomatic,>100s,,0
dysnosmia,>100s,,0
fatigue,>100s,,0
soreness,>100s,,0
headache,>100s,,0
dysgeusia,>100s,,0
cough,90s,-0.0302,0
fever,90s,0.0513,1
sneezing,90s,-0.0228,0
throatache,90s,-0.0226,0
asymptomatic,90s,-0.0192,0
dysnosmia,90s,-0.016,0
fatigue,90s,0.0977,1
soreness,90s,-0.0136,0
headache,90s,0.1162,1
dysgeusia,90s,-0.0118,0
cough,80s,0.0383,2
fever,80s,0.0429,2
sneezing,80s,0.0607,2
throatache,80s,-0.0392,0
asymptomatic,80s,-0.0333,0
dysnosmia,80s,-0.0278,0
fatigue,80s,0.0393,1
soreness,80s,-0.0237,0
headache,80s,-0.0217,0
dysgeusia,80s,-0.0205,0
cough,70s,-0.0175,6
fever,70s,0.0873,11
sneezing,70s,-0.0773,1
throatache,70s,0.0066,5
asymptomatic,70s,-0.0598,1
dysnosmia,70s,-0.0433,1
fatigue,70s,-0.0102,2
soreness,70s,0.0276,3
headache,70s,-0.0538,0
dysgeusia,70s,-0.0507,0
cough,60s,0.1081,31
fever,60s,0.0494,24
sneezing,60s,-0.0787,8
throatache,60s,-0.0038,14
asymptomatic,60s,-0.0415,8
dysnosmia,60s,-0.1087,1
fatigue,60s,0.0115,8
soreness,60s,0.1313,14
headache,60s,-0.0787,1
dysgeusia,60s,-0.0721,1
cough,50s,0.0904,37
fever,50s,0.1325,39
sneezing,50s,-0.0749,12
throatache,50s,0.0137,20
asymptomatic,50s,-0.1129,5
dysnosmia,50s,-0.0503,7
fatigue,50s,0.0067,10
soreness,50s,-0.0024,8
headache,50s,-0.0162,6
dysgeusia,50s,-0.0384,4
cough,40s,-0.0726,22
fever,40s,0.0152,29
sneezing,40s,-0.0655,14
throatache,40s,-0.0004,20
asymptomatic,40s,0.051,20
dysnosmia,40s,-0.0068,11
fatigue,40s,-0.0297,8
soreness,40s,-0.0397,6
headache,40s,-0.0233,6
dysgeusia,40s,0.0537,10
cough,30s,-0.0422,62
fever,30s,-0.0419,57
sneezing,30s,0.0335,51
throatache,30s,0.0148,48
asymptomatic,30s,0.06,43
dysnosmia,30s,0.0699,34
fatigue,30s,0.045,28
soreness,30s,0.0203,22
headache,30s,-0.0139,16
dysgeusia,30s,0.0302,18
cough,20s,-0.0056,95
fever,20s,-0.1621,63
sneezing,20s,0.1408,86
throatache,20s,0.0084,66
asymptomatic,20s,0.0354,55
dysnosmia,20s,0.0655,45
fatigue,20s,-0.0173,31
soreness,20s,-0.069,21
headache,20s,0.0485,29
dysgeusia,20s,0.0245,24
cough,10s,-0.0279,10
fever,10s,0.0433,14
sneezing,10s,-0.0184,7
throatache,10s,-0.033,6
asymptomatic,10s,0.0129,7
dysnosmia,10s,-0.0126,4
fatigue,10s,-0.0434,2
soreness,10s,0.0107,4
headache,10s,0.1177,8
dysgeusia,10s,0.0074,3
cough,0s,-0.0677,0
fever,0s,0.1151,5
sneezing,0s,-0.0511,0
throatache,0s,-0.0507,0
asymptomatic,0s,-0.0431,0
dysnosmia,0s,-0.0359,0
fatigue,0s,-0.0334,0
soreness,0s,-0.0306,0
headache,0s,-0.0281,0
dysgeusia,0s,-0.0264,0
