symptom,trav_hist,corr,count
cough,USA,0.1283,62
fever,USA,0.1444,60
asymptomatic,USA,-0.2681,6
sneezing,USA,0.0288,36
throatache,USA,0.0888,42
dysnosmia,USA,0.0894,26
fatigue,USA,0.0017,17
soreness,USA,0.1181,25
headache,USA,0.0627,17
dysgeusia,USA,0.0446,14
cough,Indonesia,-0.2626,12
fever,Indonesia,-0.2312,13
asymptomatic,Indonesia,0.5012,99
sneezing,Indonesia,-0.2041,9
throatache,Indonesia,-0.1813,11
dysnosmia,Indonesia,-0.1182,7
fatigue,Indonesia,-0.1098,7
soreness,Indonesia,-0.1058,6
headache,Indonesia,-0.1054,4
dysgeusia,Indonesia,-0.0921,4
cough,Philippines,-0.0692,27
fever,Philippines,-0.1171,19
asymptomatic,Philippines,0.2424,56
sneezing,Philippines,-0.1157,13
throatache,Philippines,-0.1204,12
dysnosmia,Philippines,-0.0325,11
fatigue,Philippines,-0.0361,10
soreness,Philippines,0.0199,13
headache,Philippines,-0.0623,5
dysgeusia,Philippines,-0.0645,4
cough,UK,0.1187,45
fever,UK,0.0431,34
asymptomatic,UK,-0.2178,4
sneezing,UK,0.192,42
throatache,UK,0.1287,35
dysnosmia,UK,0.0826,19
fatigue,UK,0.0809,18
soreness,UK,0.0069,11
headache,UK,0.0823,14
dysgeusia,UK,0.087,13
cough,France,0.0948,18
fever,France,0.0662,15
asymptomatic,France,-0.1304,1
sneezing,France,0.1087,15
throatache,France,0.145,17
dysnosmia,France,-0.0295,3
fatigue,France,0.0988,9
soreness,France,-0.0164,3
headache,France,0.0704,6
dysgeusia,France,-0.0426,1
cough,Spain,0.0353,9
fever,Spain,-0.009,6
asymptomatic,Spain,-0.0942,1
sneezing,Spain,0.0392,7
throatache,Spain,0.0623,8
dysnosmia,Spain,-0.0192,2
fatigue,Spain,-0.0416,1
soreness,Spain,-0.0634,0
headache,Spain,-0.0264,1
dysgeusia,Spain,-0.0527,0
cough,Turkey,-0.0077,5
fever,Turkey,0.0647,8
asymptomatic,Turkey,-0.055,2
sneezing,Turkey,-0.0193,3
throatache,Turkey,0.0058,4
dysnosmia,Turkey,-0.0319,1
fatigue,Turkey,0.0896,5
soreness,Turkey,-0.0239,1
headache,Turkey,-0.0148,1
dysgeusia,Turkey,-0.0096,1
cough,Czechia,0.013,6
fever,Czechia,0.0435,7
asymptomatic,Czechia,-0.0333,3
sneezing,Czechia,-0.0422,2
throatache,Czechia,-0.0173,3
dysnosmia,Czechia,-0.0608,0
fatigue,Czechia,-0.0291,1
soreness,Czechia,0.0073,2
headache,Czechia,-0.0491,0
dysgeusia,Czechia,-0.0096,1
cough,Egypt,0.0231,5
fever,Egypt,0.0315,5
asymptomatic,Egypt,-0.035,2
sneezing,Egypt,0.0294,4
throatache,Egypt,0.0316,4
dysnosmia,Egypt,-0.0525,0
fatigue,Egypt,0.0175,2
soreness,Egypt,0.0242,2
headache,Egypt,-0.0029,1
dysgeusia,Egypt,-0.0396,0
cough,Netherlands,0.0469,6
fever,Netherlands,0.1289,9
asymptomatic,Netherlands,-0.085,0
sneezing,Netherlands,0.0557,5
throatache,Netherlands,0.005,3
dysnosmia,Netherlands,0.0474,3
fatigue,Netherlands,0.0517,3
soreness,Netherlands,0.0242,2
headache,Netherlands,-0.0424,0
dysgeusia,Netherlands,0.0855,3
