symptom,trav_hist,value,label
cough,USA,0.12829389034590885,+13%
fever,USA,0.14441064506060847,+14%
asymptomatic,USA,-0.2681126124573857,-27%
sneezing,USA,0.028828554776409283,+3%
throatache,USA,0.08875508457750443,+9%
dysnosmia,USA,0.08939493976046936,+9%
fatigue,USA,-0.000568656991817254,-0%
soreness,USA,0.1181373704219141,+12%
headache,USA,0.06265011852225363,+6%
dysgeusia,USA,0.044569649770343646,+4%
cough,Indonesia,-0.2626460761737952,-26%
fever,Indonesia,-0.23119197080093304,-23%
asymptomatic,Indonesia,0.5012331080721257,+50%
sneezing,Indonesia,-0.20413728588382218,-20%
throatache,Indonesia,-0.18126454113090656,-18%
dysnosmia,Indonesia,-0.11821764041488189,-12%
fatigue,Indonesia,-0.11152941366024902,-11%
soreness,Indonesia,-0.10577707807190348,-11%
headache,Indonesia,-0.10541804760033918,-11%
dysgeusia,Indonesia,-0.09208072871309131,-9%
cough,Philippines,-0.06916690953601234,-7%
fever,Philippines,-0.11713411595737536,-12%
asymptomatic,Philippines,0.2423933255181197,+24%
sneezing,Philippines,-0.11567382933658105,-12%
throatache,Philippines,-0.12036947003106835,-12%
dysnosmia,Philippines,-0.03245487838324054,-3%
fatigue,Philippines,-0.02537682957474198,-3%
soreness,Philippines,0.019900962438929047,+2%
headache,Philippines,-0.06226334013364197,-6%
dysgeusia,Philippines,-0.06454875155711082,-6%
cough,UK,0.11865338585065992,+12%
fever,UK,0.043051338421851826,+4%
asymptomatic,UK,-0.21776131143773686,-22%
sneezing,UK,0.19198467124206123,+19%
throatache,UK,0.12867651544185513,+13%
dysnosmia,UK,0.08261956110715056,+8%
fatigue,UK,0.07868210805823554,+8%
soreness,UK,0.006926984284166229,+1%
headache,UK,0.08230222020152697,+8%
dysgeusia,UK,0.08695230550121427,+9%
cough,France,0.09477620363660523,+9%
fever,France,0.06616240492878175,+7%
asymptomatic,France,-0.13038064590978202,-13%
sneezing,France,0.1087041614601239,+11%
throatache,France,0.14501816126091305,+15%
dysnosmia,France,-0.029508058993384583,-3%
fatigue,France,0.09728602412038748,+10%
soreness,France,-0.016384889270641037,-2%
headache,France,0.070381194154939,+7%
dysgeusia,France,-0.04256943574683172,-4%
cough,Spain,0.03532704010483221,+4%
fever,Spain,-0.009047739513422345,-1%
asymptomatic,Spain,-0.09416915399236056,-9%
sneezing,Spain,0.03916839912477299,+4%
throatache,Spain,0.062267112027695234,+6%
dysnosmia,Spain,-0.019227768654139714,-2%
fatigue,Spain,-0.0422373706900806,-4%
soreness,Spain,-0.06338405634195317,-6%
headache,Spain,-0.026416755291671194,-3%
dysgeusia,Spain,-0.05272088012140125,-5%
cough,Turkey,-0.007723601863120402,-1%
fever,Turkey,0.06467038085301755,+6%
asymptomatic,Turkey,-0.0550303958363451,-6%
sneezing,Turkey,-0.019328392513471265,-2%
throatache,Turkey,0.005786979014556805,+1%
dysnosmia,Turkey,-0.03187899840056236,-3%
fatigue,Turkey,0.08838806210342043,+9%
soreness,Turkey,-0.0239262845704866,-2%
headache,Turkey,-0.01481864826352306,-1%
dysgeusia,Turkey,-0.009622559828283684,-1%
cough,Czechia,0.012975651130041989,+1%
fever,Czechia,0.04351356680442328,+4%
asymptomatic,Czechia,-0.03334194571260937,-3%
sneezing,Czechia,-0.04220829177853458,-4%
throatache,Czechia,-0.01729204443635498,-2%
dysnosmia,Czechia,-0.060820636514894194,-6%
fatigue,Czechia,-0.029697683877220906,-3%
soreness,Czechia,0.007261673916334064,+1%
headache,Czechia,-0.049054835630973084,-5%
dysgeusia,Czechia,-0.009622559828283597,-1%
cough,Egypt,0.02311737522733322,+2%
fever,Egypt,0.03148028488782524,+3%
asymptomatic,Egypt,-0.03502892944522467,-4%
sneezing,Egypt,0.02940533956268293,+3%
throatache,Egypt,0.031564650804357094,+3%
dysnosmia,Egypt,-0.05251187432208752,-5%
fatigue,Egypt,0.016840154159414443,+2%
soreness,Egypt,0.024221212241287593,+2%
headache,Egypt,-0.002941209037788964,-0%
dysgeusia,Egypt,-0.03957974838529472,-4%
cough,Netherlands,0.04694605430781519,+5%
fever,Netherlands,0.128901951746223,+13%
asymptomatic,Netherlands,-0.08496378631394916,-8%
sneezing,Netherlands,0.055744346924979135,+6%
throatache,Netherlands,0.004996414574559064,+0%
dysnosmia,Netherlands,0.0474397046432499,+5%
fatigue,Netherlands,0.05082480261365422,+5%
soreness,Netherlands,0.024221212241287517,+2%
headache,Netherlands,-0.042353410144161906,-4%
dysgeusia,Netherlands,0.08550719226634307,+9%
