date,moving_avg,imported,linked,unlinked,fleet,plane,unknown
2020-01-01,0.0,0,0,0,0,0,0
2020-01-02,0.0,0,0,0,0,0,0
2020-01-03,0.0,0,0,0,0,0,0
2020-01-04,0.0,0,0,0,0,0,0
2020-01-05,0.0,0,0,0,0,0,0
2020-01-06,0.0,0,0,0,0,0,0
2020-01-07,0.0,0,0,0,0,0,0
2020-01-08,0.0,0,0,0,0,0,0
2020-01-09,0.0,0,0,0,0,0,0
2020-01-10,0.0,0,0,0,0,0,0
2020-01-11,0.0,0,0,0,0,0,0
2020-01-12,0.0,0,0,0,0,0,0
2020-01-13,0.0,0,0,0,0,0,0
2020-01-14,0.0,0,0,0,0,0,0
2020-01-15,0.0,0,0,0,0,0,0
2020-01-16,0.0,0,0,0,0,0,0
2020-01-17,0.0,0,0,0,0,0,0
2020-01-18,0.0,0,0,0,0,0,0
2020-01-19,0.0,0,0,0,0,0,0
2020-01-20,0.0,0,0,0,0,0,0
2020-01-21,0.143,1,0,0,0,0,0
2020-01-22,0.143,0,0,0,0,0,0
2020-01-23,0.143,0,0,0,0,0,0
2020-01-24,0.429,2,0,0,0,0,0
2020-01-25,0.429,0,0,0,0,0,0
2020-01-26,0.571,1,0,0,0,0,0
2020-01-27,0.714,1,0,0,0,0,0
2020-01-28,1.0,2,1,0,0,0,0
2020-01-29,1.0,0,0,0,0,0,0
2020-01-30,1.143,0,1,0,0,0,0
2020-01-31,1.0,1,0,0,0,0,0
2020-02-01,1.0,0,0,0,0,0,0
2020-02-02,0.857,0,0,0,0,0,0
2020-02-03,0.714,0,0,0,0,0,0
2020-02-04,0.429,1,0,0,0,0,0
2020-02-05,0.429,0,0,0,0,0,0
2020-02-06,1.0,5,0,0,0,0,0
2020-02-07,0.857,0,0,0,0,0,0
2020-02-08,1.0,1,0,0,0,0,0
2020-02-09,1.143,1,0,0,0,0,0
2020-02-10,1.143,0,0,0,0,0,0
2020-02-11,1.0,0,0,0,0,0,0
2020-02-12,1.0,0,0,0,0,0,0
2020-02-13,0.286,0,0,0,0,0,0
2020-02-14,0.286,0,0,0,0,0,0
2020-02-15,0.143,0,0,0,0,0,0
2020-02-16,0.286,0,2,0,0,0,0
