date,moving_avg,airport,quarantine,isolation,monitoring,hospital,overseas,no_data
2020-01-01,0.0,0,0,0,0,0,0,0
2020-01-02,0.0,0,0,0,0,0,0,0
2020-01-03,0.0,0,0,0,0,0,0,0
2020-01-04,0.0,0,0,0,0,0,0,0
2020-01-05,0.0,0,0,0,0,0,0,0
2020-01-06,0.0,0,0,0,0,0,0,0
2020-01-07,0.0,0,0,0,0,0,0,0
2020-01-08,0.0,0,0,0,0,0,0,0
2020-01-09,0.0,0,0,0,0,0,0,0
2020-01-10,0.0,0,0,0,0,0,0,0
2020-01-11,0.0,0,0,0,0,0,0,0
2020-01-12,0.0,0,0,0,0,0,0,0
2020-01-13,0.0,0,0,0,0,0,0,0
2020-01-14,0.0,0,0,0,0,0,0,0
2020-01-15,0.0,0,0,0,0,0,0,0
2020-01-16,0.0,0,0,0,0,0,0,0
2020-01-17,0.0,0,0,0,0,0,0,0
2020-01-18,0.0,0,0,0,0,0,0,0
2020-01-19,0.0,0,0,0,0,0,0,0
2020-01-20,0.0,0,0,0,0,0,0,0
2020-01-21,0.1429,0,0,0,0,0,0,1
2020-01-22,0.1429,0,0,0,0,0,0,0
2020-01-23,0.1429,0,0,0,0,0,0,0
2020-01-24,0.4286,0,0,0,0,0,0,2
2020-01-25,0.4286,0,0,0,0,0,0,0
2020-01-26,0.5714,0,0,0,0,0,0,1
2020-01-27,0.7143,0,0,0,0,0,0,1
2020-01-28,1.0,0,0,0,0,0,0,3
2020-01-29,1.0,0,0,0,0,0,0,0
2020-01-30,1.1429,0,0,1,0,0,0,0
2020-01-31,1.0,0,0,0,0,0,0,1
2020-02-01,1.0,0,0,0,0,0,0,0
2020-02-02,0.8571,0,0,0,0,0,0,0
2020-02-03,0.7143,0,0,0,0,0,0,0
2020-02-04,0.4286,0,0,0,0,0,0,1
2020-02-05,0.4286,0,0,0,0,0,0,0
2020-02-06,1.0,0,0,0,0,0,0,5
2020-02-07,0.8571,0,0,0,0,0,0,0
2020-02-08,1.0,0,0,0,0,0,0,1
2020-02-09,1.1429,0,0,0,0,0,0,1
2020-02-10,1.1429,0,0,0,0,0,0,0
2020-02-11,1.0,0,0,0,0,0,0,0
2020-02-12,1.0,0,0,0,0,0,0,0
2020-02-13,0.2857,0,0,0,0,0,0,0
2020-02-14,0.2857,0,0,0,0,0,0,0
2020-02-15,0.1429,0,0,0,0,0,0,0
2020-02-16,0.2857,0,0,0,0,0,0,2
2020-02-17,0.5714,0,0,0,0,0,0,2
2020-02-18,0.5714,0,0,0,0,0,0,0
2020-02-19,0.8571,0,0,0,0,0,0,2
2020-02-20,0.8571,0,0,0,0,0,0,0
2020-02-21,1.1429,0,0,0,0,0,0,2
2020-02-22,1.1429,0,0,0,0,0,0,0
2020-02-23,1.1429,0,0,0,0,0,0,2
2020-02-24,1.1429,0,0,0,0,0,0,2
2020-02-25,1.2857,0,0,0,0,0,0,1
2020-02-26,1.1429,0,0,0,0,0,0,1
2020-02-27,1.1429,0,0,0,0,0,0,0
2020-02-28,1.1429,0,0,0,0,0,0,2
2020-02-29,1.8571,0,0,0,0,0,0,5
2020-03-01,1.7143,0,0,0,0,0,0,1
2020-03-02,1.5714,0,0,0,0,0,0,1
2020-03-03,1.5714,0,0,0,0,0,0,1
2020-03-04,1.4286,0,0,0,0,0,0,0
2020-03-05,1.7143,0,0,0,0,0,0,2
2020-03-06,1.5714,0,0,0,0,0,0,1
2020-03-07,0.8571,0,0,0,0,0,0,0
2020-03-08,0.7143,0,0,0,0,0,0,0
2020-03-09,0.5714,0,0,0,0,0,0,0
2020-03-10,0.7143,0,0,0,0,0,0,2
2020-03-11,0.8571,0,0,0,0,0,0,1
2020-03-12,0.7143,0,0,0,0,0,0,1
2020-03-13,0.7143,0,0,0,0,0,0,1
2020-03-14,1.1429,0,0,0,0,0,0,3
2020-03-15,2.0,0,0,0,0,0,0,6
2020-03-16,3.1429,0,0,0,0,0,0,8
2020-03-17,4.2857,0,0,0,0,0,0,10
2020-03-18,7.4286,10,0,0,0,0,0,13
2020-03-19,8.4286,2,1,0,0,0,0,5
2020-03-20,12.1429,8,4,5,1,9,0,0
2020-03-21,14.2857,6,3,2,1,6,0,0
2020-03-22,15.7143,1,5,5,0,5,0,0
2020-03-23,18.2857,12,11,0,0,3,0,0
2020-03-24,19.8571,8,9,2,0,2,0,0
2020-03-25,19.2857,7,10,1,0,1,0,0
2020-03-26,20.5714,7,6,3,0,1,0,0
2020-03-27,18.8571,9,5,0,1,0,0,0
2020-03-28,18.5714,6,7,0,0,3,0,0
2020-03-29,18.4286,4,6,1,0,4,0,0
2020-03-30,15.8571,0,1,6,0,1,0,0
2020-03-31,15.1429,7,4,1,2,2,0,0
2020-04-01,13.4286,5,2,0,0,0,0,0
2020-04-02,12.4286,2,2,3,0,3,0,0
2020-04-03,11.5714,1,4,2,0,2,0,0
2020-04-04,10.2857,1,3,2,0,1,0,0
2020-04-05,9.2857,1,0,6,1,0,0,0
2020-04-06,9.5714,2,4,4,0,0,0,0
2020-04-07,7.7143,0,2,1,0,0,0,0
2020-04-08,7.1429,0,2,0,0,1,0,0
2020-04-09,5.8571,0,0,1,0,0,0,0
2020-04-10,4.8571,0,0,2,0,0,0,0
2020-04-11,4.2857,2,1,0,0,0,0,0
2020-04-12,3.5714,1,1,1,0,0,0,0
2020-04-13,2.8571,5,0,0,0,0,0,0
2020-04-14,2.4286,0,0,0,0,0,0,0
2020-04-15,2.2857,1,0,1,0,0,0,0
2020-04-16,2.1429,0,0,0,0,0,0,0
2020-04-17,1.8571,0,0,0,0,0,0,0
2020-04-18,1.8571,0,0,0,0,3,0,0
2020-04-19,4.5714,1,19,0,0,2,0,0
2020-04-20,4.1429,2,0,0,0,0,0,0
