date,death,death_avg
2022-01-01,0,0.0
2022-01-02,0,0.0
2022-01-03,0,0.0
2022-01-04,0,0.0
2022-01-05,0,0.0
2022-01-06,0,0.0
2022-01-07,0,0.0
2022-01-08,0,0.0
2022-01-09,0,0.0
2022-01-10,0,0.0
2022-01-11,0,0.0
2022-01-12,0,0.0
2022-01-13,0,0.0
2022-01-14,0,0.0
2022-01-15,0,0.0
2022-01-16,0,0.0
2022-01-17,1,0.1429
2022-01-18,0,0.1429
2022-01-19,0,0.1429
2022-01-20,0,0.1429
2022-01-21,0,0.1429
2022-01-22,0,0.1429
2022-01-23,0,0.1429
2022-01-24,0,0.0
2022-01-25,0,0.0
2022-01-26,0,0.0
2022-01-27,0,0.0
2022-01-28,0,0.0
2022-01-29,0,0.0
2022-01-30,0,0.0
2022-01-31,0,0.0
2022-02-01,0,0.0
2022-02-02,0,0.0
2022-02-03,0,0.0
2022-02-04,1,0.1429
2022-02-05,0,0.1429
2022-02-06,0,0.1429
2022-02-07,0,0.1429
2022-02-08,0,0.1429
2022-02-09,0,0.1429
2022-02-10,0,0.1429
2022-02-11,0,0.0
2022-02-12,0,0.0
2022-02-13,0,0.0
2022-02-14,0,0.0
2022-02-15,0,0.0
2022-02-16,0,0.0
2022-02-17,0,0.0
2022-02-18,0,0.0
2022-02-19,0,0.0
2022-02-20,0,0.0
2022-02-21,0,0.0
2022-02-22,0,0.0
2022-02-23,1,0.1429
2022-02-24,0,0.1429
2022-02-25,0,0.1429
2022-02-26,0,0.1429
2022-02-27,0,0.1429
2022-02-28,0,0.1429
2022-03-01,0,0.1429
2022-03-02,0,0.0
2022-03-03,0,0.0
2022-03-04,0,0.0
2022-03-05,0,0.0
2022-03-06,0,0.0
2022-03-07,0,0.0
2022-03-08,0,0.0
2022-03-09,0,0.0
2022-03-10,0,0.0
2022-03-11,0,0.0
2022-03-12,0,0.0
2022-03-13,0,0.0
2022-03-14,0,0.0
2022-03-15,0,0.0
2022-03-16,0,0.0
2022-03-17,0,0.0
2022-03-18,0,0.0
2022-03-19,0,0.0
2022-03-20,0,0.0
2022-03-21,0,0.0
2022-03-22,0,0.0
2022-03-23,0,0.0
2022-03-24,0,0.0
2022-03-25,0,0.0
2022-03-26,0,0.0
2022-03-27,0,0.0
2022-03-28,0,0.0
2022-03-29,0,0.0
2022-03-30,0,0.0
2022-03-31,0,0.0
2022-04-01,0,0.0
2022-04-02,0,0.0
2022-04-03,0,0.0
2022-04-04,0,0.0
2022-04-05,0,0.0
2022-04-06,0,0.0
2022-04-07,1,0.1429
2022-04-08,0,0.1429
2022-04-09,0,0.1429
2022-04-10,0,0.1429
2022-04-11,0,0.1429
2022-04-12,0,0.1429
2022-04-13,0,0.1429
2022-04-14,0,0.0
2022-04-15,0,0.0
2022-04-16,1,0.1429
2022-04-17,1,0.2857
2022-04-18,0,0.2857
2022-04-19,1,0.4286
2022-04-20,2,0.7143
2022-04-21,0,0.7143
2022-04-22,1,0.8571
2022-04-23,0,0.7143
2022-04-24,0,0.5714
2022-04-25,0,0.5714
2022-04-26,0,0.4286
2022-04-27,2,0.4286
2022-04-28,1,0.5714
2022-04-29,2,0.7143
2022-04-30,3,1.1429
2022-05-01,3,1.5714
2022-05-02,3,2.0
2022-05-03,5,2.7143
2022-05-04,5,3.1429
2022-05-05,5,3.7143
2022-05-06,10,4.8571
2022-05-07,11,6.0
2022-05-08,12,7.2857
2022-05-09,12,8.5714
2022-05-10,12,9.5714
2022-05-11,8,10.0
2022-05-12,17,11.7143
2022-05-13,41,16.1429
2022-05-14,40,20.2857
2022-05-15,19,21.2857
2022-05-16,29,23.7143
2022-05-17,38,27.4286
2022-05-18,41,32.1429
2022-05-19,59,38.1429
2022-05-20,49,39.2857
2022-05-21,59,42.0
2022-05-22,53,46.8571
2022-05-23,40,48.4286
2022-05-24,42,49.0
2022-05-25,76,54.0
2022-05-26,104,60.4286
2022-05-27,126,71.4286
2022-05-28,127,81.1429
2022-05-29,145,94.2857
2022-05-30,109,104.1429
2022-05-31,90,111.0
2022-06-01,122,117.5714
2022-06-02,144,123.2857
2022-06-03,142,125.5714
2022-06-04,152,129.1429
2022-06-05,124,126.1429
2022-06-06,151,132.1429
2022-06-07,124,137.0
2022-06-08,159,142.2857
2022-06-09,211,151.8571
2022-06-10,213,162.0
2022-06-11,211,170.4286
2022-06-12,163,176.0
2022-06-13,109,170.0
2022-06-14,123,169.8571
2022-06-15,143,167.5714
2022-06-16,168,161.4286
2022-06-17,154,153.0
2022-06-18,181,148.7143
2022-06-19,172,150.0
2022-06-20,144,155.0
2022-06-21,115,153.8571
2022-06-22,171,157.8571
2022-06-23,166,157.5714
2022-06-24,152,157.2857
2022-06-25,151,153.0
2022-06-26,134,147.5714
2022-06-27,91,140.0
2022-06-28,103,138.2857
2022-06-29,85,126.0
2022-06-30,118,119.1429
2022-07-01,121,114.7143
2022-07-02,96,106.8571
2022-07-03,88,100.2857
2022-07-04,69,97.1429
2022-07-05,103,97.1429
2022-07-06,95,98.5714
2022-07-07,105,96.7143
2022-07-08,131,98.1429
2022-07-09,94,97.8571
2022-07-10,71,95.4286
2022-07-11,96,99.2857
2022-07-12,60,93.1429
2022-07-13,49,86.5714
2022-07-14,89,84.2857
2022-07-15,114,81.8571
2022-07-16,72,78.7143
2022-07-17,73,79.0
2022-07-18,48,72.1429
2022-07-19,37,68.8571
2022-07-20,57,70.0
2022-07-21,74,67.8571
2022-07-22,86,63.8571
2022-07-23,53,61.1429
2022-07-24,65,60.0
2022-07-25,53,60.7143
2022-07-26,37,60.7143
2022-07-27,28,56.5714
2022-07-28,62,54.8571
2022-07-29,57,50.7143
2022-07-30,60,51.7143
2022-07-31,34,47.2857
2022-08-01,36,44.8571
2022-08-02,31,44.0
2022-08-03,32,44.5714
2022-08-04,56,43.7143
2022-08-05,54,43.2857
2022-08-06,51,42.0
2022-08-07,42,43.1429
2022-08-08,26,41.7143
2022-08-09,18,39.8571
2022-08-10,25,38.8571
2022-08-11,44,37.1429
2022-08-12,31,33.8571
2022-08-13,40,32.2857
2022-08-14,22,29.4286
2022-08-15,22,28.8571
2022-08-16,16,28.5714
2022-08-17,33,29.7143
2022-08-18,34,28.2857
2022-08-19,32,28.4286
2022-08-20,36,27.8571
2022-08-21,26,28.4286
2022-08-22,23,28.5714
2022-08-23,16,28.5714
2022-08-24,18,26.4286
2022-08-25,37,26.8571
2022-08-26,45,28.7143
