date,total,Keelung,Taipei,New_Taipei,Taoyuan,Hsinchu,Hsinchu_C,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Chiayi_C,Tainan,Kaohsiung,Pingtung,Yilan,Hualien,Taitung,Penghu,Kinmen,Matsu
2021-05-03,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-06,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-08,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-10,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-11,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2021-05-12,16,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2021-05-13,13,0,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-14,27,0,6,16,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2021-05-15,181,1,86,79,4,0,0,0,1,6,0,0,0,0,0,0,0,4,0,0,0,0,0
2021-05-16,203,2,93,92,3,1,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0
2021-05-17,332,6,158,148,10,1,0,1,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0
2021-05-18,237,3,103,104,12,0,1,0,0,10,0,1,0,0,0,3,0,0,0,0,0,0,0
2021-05-19,266,5,70,130,15,0,2,0,5,28,0,0,0,0,2,6,0,3,0,0,0,0,0
2021-05-20,284,5,81,161,17,0,0,0,3,6,0,1,0,0,0,2,0,8,0,0,0,0,0
2021-05-21,311,8,125,147,11,0,0,0,6,5,1,1,0,0,0,4,1,2,0,0,0,0,0
2021-05-22,720,10,264,386,22,2,3,1,11,4,1,1,0,0,1,3,5,3,3,0,0,0,0
2021-05-23,450,5,165,207,24,1,2,0,5,11,8,2,1,1,2,0,8,7,1,0,0,0,0
2021-05-24,589,7,244,281,22,1,0,2,8,12,1,0,0,0,3,5,3,0,0,0,0,0,0
2021-05-25,534,12,196,249,23,1,4,2,10,12,2,1,0,0,4,3,4,8,1,2,0,0,0
2021-05-26,638,14,310,251,25,4,0,1,11,2,0,2,0,1,8,2,2,2,1,1,0,0,1
2021-05-27,666,18,223,327,23,5,1,1,10,13,1,1,0,3,1,14,3,10,6,4,0,0,2
2021-05-28,554,8,212,270,22,1,1,0,10,9,1,0,0,2,6,1,1,0,9,1,0,0,0
2021-05-29,480,14,167,220,18,2,1,3,33,2,0,1,4,0,0,1,0,5,4,5,0,0,0
2021-05-30,358,8,82,199,24,0,1,9,9,9,4,0,3,0,0,1,0,1,6,1,0,0,1
2021-05-31,347,3,121,172,27,1,2,3,5,10,0,0,0,0,0,1,0,0,1,0,1,0,0
2021-06-01,326,8,89,163,23,1,0,2,10,12,0,0,4,0,1,1,0,5,3,3,1,0,0
2021-06-02,548,18,147,314,28,2,1,12,3,10,1,0,0,0,2,5,0,0,1,4,0,0,0
2021-06-03,578,5,221,264,29,0,1,33,5,15,0,0,0,0,2,1,0,1,1,0,0,0,0
2021-06-04,460,6,148,231,12,1,1,40,7,6,2,1,1,0,0,1,1,1,1,0,0,0,0
2021-06-05,504,13,138,226,18,7,1,66,9,11,3,1,3,0,1,3,4,0,0,0,0,0,0
2021-06-06,321,3,64,141,16,3,0,71,2,3,0,3,0,1,2,3,0,9,0,0,0,0,0
2021-06-07,201,3,59,81,5,1,3,35,0,8,0,0,1,0,0,0,1,1,0,0,3,0,0
2021-06-08,219,8,54,123,13,0,1,16,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2021-06-09,272,11,60,162,15,1,0,12,1,3,3,0,0,1,1,0,0,2,0,0,0,0,0
2021-06-10,262,12,57,111,14,2,1,43,0,10,2,0,0,0,1,0,0,1,7,1,0,0,0
2021-06-11,286,8,47,121,20,12,3,56,4,7,0,2,0,0,1,0,0,3,2,0,0,0,0
2021-06-12,250,16,67,132,10,1,2,11,2,2,0,1,0,0,0,1,0,2,3,0,0,0,0
2021-06-13,174,7,63,80,16,2,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0
2021-06-14,185,14,40,100,10,3,0,7,1,3,0,1,0,0,0,0,0,2,4,0,0,0,0
2021-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
