date,interpolated,total,AZ,Moderna,Medigen,Pfizer,total_avg,AZ_avg,Moderna_avg,Medigen_avg,Pfizer_avg
2021-03-01,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-02,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-03,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-04,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-05,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-06,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-07,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-08,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-09,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-10,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-11,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-12,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-13,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-14,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-15,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-16,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-17,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-18,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-19,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-20,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-21,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021-03-22,0,1578,1578,0,0,0,225.4286,225.4286,0.0,0.0,0.0
2021-03-23,0,1640,1640,0,0,0,459.7143,459.7143,0.0,0.0,0.0
2021-03-24,0,1951,1951,0,0,0,738.4286,738.4286,0.0,0.0,0.0
2021-03-25,0,1884,1884,0,0,0,1007.5714,1007.5714,0.0,0.0,0.0
2021-03-26,0,2179,2179,0,0,0,1318.8571,1318.8571,0.0,0.0,0.0
2021-03-27,0,145,145,0,0,0,1339.5714,1339.5714,0.0,0.0,0.0
2021-03-28,0,35,35,0,0,0,1344.5714,1344.5714,0.0,0.0,0.0
2021-03-29,0,1479,1479,0,0,0,1330.4286,1330.4286,0.0,0.0,0.0
2021-03-30,0,1757,1757,0,0,0,1347.1429,1347.1429,0.0,0.0,0.0
2021-03-31,0,1752,1752,0,0,0,1318.7143,1318.7143,0.0,0.0,0.0
2021-04-01,0,2050,2050,0,0,0,1342.4286,1342.4286,0.0,0.0,0.0
2021-04-02,0,606,606,0,0,0,1117.7143,1117.7143,0.0,0.0,0.0
2021-04-03,0,22,22,0,0,0,1100.1429,1100.1429,0.0,0.0,0.0
2021-04-04,0,0,0,0,0,0,1095.1429,1095.1429,0.0,0.0,0.0
2021-04-05,0,167,167,0,0,0,907.7143,907.7143,0.0,0.0,0.0
2021-04-06,0,1412,1412,0,0,0,858.4286,858.4286,0.0,0.0,0.0
2021-04-07,0,1418,1418,0,0,0,810.7143,810.7143,0.0,0.0,0.0
2021-04-08,0,1798,1798,0,0,0,774.7143,774.7143,0.0,0.0,0.0
2021-04-09,0,2577,2577,0,0,0,1056.2857,1056.2857,0.0,0.0,0.0
2021-04-10,0,208,208,0,0,0,1082.8571,1082.8571,0.0,0.0,0.0
2021-04-11,0,43,43,0,0,0,1089.0,1089.0,0.0,0.0,0.0
2021-04-12,0,1181,1181,0,0,0,1233.8571,1233.8571,0.0,0.0,0.0
2021-04-13,0,1231,1231,0,0,0,1208.0,1208.0,0.0,0.0,0.0
2021-04-14,0,1384,1384,0,0,0,1203.1429,1203.1429,0.0,0.0,0.0
2021-04-15,0,1542,1542,0,0,0,1166.5714,1166.5714,0.0,0.0,0.0
2021-04-16,0,2350,2350,0,0,0,1134.1429,1134.1429,0.0,0.0,0.0
2021-04-17,0,61,61,0,0,0,1113.1429,1113.1429,0.0,0.0,0.0
2021-04-18,1,583,583,0,0,0,1190.2857,1190.2857,0.0,0.0,0.0
2021-04-19,1,582,582,0,0,0,1104.7143,1104.7143,0.0,0.0,0.0
2021-04-20,-1,582,582,0,0,0,1012.0,1012.0,0.0,0.0,0.0
2021-04-21,0,2534,2534,0,0,0,1176.2857,1176.2857,0.0,0.0,0.0
2021-04-22,0,2490,2490,0,0,0,1311.7143,1311.7143,0.0,0.0,0.0
