date,airport,quarantine,isolation,monitoring,hospital,overseas,no_data
2020-02-25,0,0,0,0,0,0,1
2020-02-26,0,0,0,0,0,0,1
2020-02-27,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,2
2020-02-29,0,0,0,0,0,0,5
2020-03-01,0,0,0,0,0,0,1
2020-03-02,0,0,0,0,0,0,1
2020-03-03,0,0,0,0,0,0,1
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,2
2020-03-06,0,0,0,0,0,0,1
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,2
2020-03-11,0,0,0,0,0,0,1
2020-03-12,0,0,0,0,0,0,1
2020-03-13,0,0,0,0,0,0,1
2020-03-14,0,0,0,0,0,0,3
2020-03-15,0,0,0,0,0,0,6
2020-03-16,0,0,0,0,0,0,8
2020-03-17,0,0,0,0,0,0,10
2020-03-18,10,0,0,0,0,0,13
2020-03-19,2,1,0,0,0,0,5
2020-03-20,8,4,5,1,9,0,0
2020-03-21,6,3,2,1,6,0,0
2020-03-22,1,5,5,0,5,0,0
2020-03-23,12,11,0,0,3,0,0
2020-03-24,8,9,2,0,2,0,0
2020-03-25,7,10,1,0,1,0,0
2020-03-26,7,6,3,0,1,0,0
2020-03-27,9,5,0,1,0,0,0
2020-03-28,6,7,0,0,3,0,0
2020-03-29,4,6,1,0,4,0,0
2020-03-30,0,1,6,0,1,0,0
2020-03-31,7,4,1,2,2,0,0
2020-04-01,5,2,0,0,0,0,0
2020-04-02,2,2,3,0,3,0,0
2020-04-03,1,4,2,0,2,0,0
2020-04-04,1,3,2,0,1,0,0
2020-04-05,1,0,6,1,0,0,0
2020-04-06,2,4,4,0,0,0,0
2020-04-07,0,2,1,0,0,0,0
2020-04-08,0,2,0,0,1,0,0
2020-04-09,0,0,1,0,0,0,0
2020-04-10,0,0,2,0,0,0,0
2020-04-11,2,1,0,0,0,0,0
2020-04-12,1,1,1,0,0,0,0
2020-04-13,5,0,0,0,0,0,0
2020-04-14,0,0,0,0,0,0,0
2020-04-15,1,0,1,0,0,0,0
2020-04-16,0,0,0,0,0,0,0
2020-04-17,0,0,0,0,0,0,0
2020-04-18,0,0,0,0,3,0,0
2020-04-19,1,19,0,0,2,0,0
2020-04-20,2,0,0,0,0,0,0
2020-04-21,0,3,0,0,0,0,0
2020-04-22,0,1,0,0,0,0,0
2020-04-23,0,1,0,0,0,0,0
2020-04-24,0,1,0,0,0,0,0
2020-04-25,0,1,0,0,0,0,0
2020-04-26,0,0,0,0,0,0,0
2020-04-27,0,0,0,0,0,0,0
2020-04-28,0,0,0,0,0,0,0
2020-04-29,0,0,0,0,0,0,0
2020-04-30,0,0,0,0,0,0,0
2020-05-01,0,0,0,0,0,0,0
2020-05-02,3,0,0,0,0,0,0
2020-05-03,0,4,0,0,0,0,0
2020-05-04,0,1,1,0,0,0,0
2020-05-05,0,0,0,0,0,0,0
2020-05-06,0,1,0,0,0,0,0
2020-05-07,0,1,0,0,0,0,0
2020-05-08,0,0,0,0,0,0,0
2020-05-09,0,0,0,0,0,0,0
2020-05-10,0,0,0,0,0,0,0
2020-05-11,0,0,0,0,0,0,0
2020-05-12,0,0,0,0,0,0,0
2020-05-13,0,0,0,0,0,0,0
2020-05-14,0,0,0,0,0,0,0
2020-05-15,0,0,0,0,0,0,0
2020-05-16,0,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0
2020-05-18,0,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,0,0
2020-05-20,0,0,0,0,0,0,0
2020-05-21,1,0,0,0,0,0,0
2020-05-22,0,0,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0
2020-05-27,0,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0,0
2020-05-29,1,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0
2020-06-01,1,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0
2020-06-03,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,0
2020-06-09,0,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0
2020-06-11,0,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0
2020-06-15,2,0,0,0,0,0,0
2020-06-16,0,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,0,0
2020-06-18,0,1,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,0
2020-06-20,0,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0,0
2020-06-23,0,0,0,0,0,0,0
2020-06-24,0,0,0,0,0,0,0
2020-06-25,1,0,0,0,0,0,0
2020-06-26,0,0,0,0,0,0,0
2020-06-27,0,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0
2020-06-29,0,0,0,0,0,0,0
2020-06-30,0,0,0,0,0,0,0
2020-07-01,0,0,0,0,0,0,0
2020-07-02,1,0,0,0,0,0,0
2020-07-03,1,0,0,0,0,0,0
2020-07-04,0,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,0
2020-07-06,0,0,0,0,0,0,0
2020-07-07,0,0,0,0,0,0,0
2020-07-08,0,0,0,0,0,0,0
2020-07-09,0,0,0,0,0,0,0
2020-07-10,1,1,0,0,0,0,0
2020-07-11,0,0,0,0,0,0,0
2020-07-12,0,0,0,0,0,0,0
2020-07-13,0,0,0,0,0,0,0
2020-07-14,0,0,0,0,0,0,0
2020-07-15,0,0,0,0,0,0,0
2020-07-16,1,0,0,0,0,0,0
2020-07-17,2,0,0,0,0,0,0
2020-07-18,0,0,0,0,0,0,0
2020-07-19,1,0,0,0,0,0,0
2020-07-20,0,0,0,0,0,0,0
2020-07-21,0,0,0,0,0,0,0
2020-07-22,0,0,0,0,0,0,0
2020-07-23,0,0,0,0,0,0,0
2020-07-24,2,1,0,0,0,0,0
2020-07-25,0,0,0,0,0,0,0
2020-07-26,0,0,0,0,0,0,0
2020-07-27,3,1,0,0,0,0,0
2020-07-28,5,0,0,0,0,0,0
2020-07-29,0,0,0,0,0,0,0
2020-07-30,0,0,0,0,0,0,0
2020-07-31,0,0,0,0,0,0,0
2020-08-01,1,3,1,0,1,1,0
2020-08-02,0,1,0,0,0,0,0
2020-08-03,0,0,0,0,0,0,0
2020-08-04,0,1,0,0,0,0,0
2020-08-05,0,0,0,0,0,0,0
2020-08-06,0,0,1,0,0,0,0
2020-08-07,0,0,0,0,0,0,0
2020-08-08,0,2,0,0,0,0,0
2020-08-09,0,1,0,0,0,0,0
2020-08-10,0,0,0,0,0,0,0
2020-08-11,0,0,0,0,0,0,0
2020-08-12,0,1,0,0,0,0,0
2020-08-13,0,0,0,0,0,0,0
2020-08-14,0,0,0,0,0,0,0
2020-08-15,1,0,0,0,0,0,0
2020-08-16,0,2,0,0,0,0,0
2020-08-17,0,1,0,0,0,0,0
2020-08-18,0,1,0,0,0,0,0
2020-08-19,0,0,0,0,0,0,0
2020-08-20,0,0,0,0,0,0,0
2020-08-21,0,0,0,0,0,0,0
2020-08-22,1,0,0,0,0,0,0
2020-08-23,0,0,0,0,0,0,0
2020-08-24,0,0,0,0,0,0,0
2020-08-25,0,0,0,0,0,0,0
2020-08-26,0,0,0,0,0,0,0
2020-08-27,0,0,0,0,0,0,0
2020-08-28,0,0,0,0,0,0,0
2020-08-29,1,0,0,0,0,0,0
2020-08-30,0,0,0,0,0,0,0
2020-08-31,0,0,0,0,0,0,0
2020-09-01,0,0,0,0,0,0,0
2020-09-02,0,0,0,0,1,0,0
2020-09-03,0,0,0,0,0,0,0
2020-09-04,0,1,0,0,0,0,0
2020-09-05,1,1,0,0,0,0,0
2020-09-06,1,0,0,0,0,0,0
2020-09-07,0,1,0,0,0,0,0
2020-09-08,1,0,0,0,0,0,0
2020-09-09,0,0,0,0,0,0,0
2020-09-10,0,1,0,0,0,0,0
2020-09-11,1,1,0,0,0,0,0
2020-09-12,0,0,0,0,0,0,0
2020-09-13,0,0,0,0,0,0,0
2020-09-14,1,0,0,0,0,0,0
2020-09-15,0,0,0,0,0,0,0
2020-09-16,1,0,0,0,0,0,0
2020-09-17,2,1,0,0,0,0,0
2020-09-18,0,0,0,0,0,0,0
2020-09-19,2,0,0,0,1,0,0
2020-09-20,1,0,0,0,0,0,0
2020-09-21,1,0,1,0,0,0,0
2020-09-22,0,0,0,0,0,0,0
2020-09-23,0,0,0,0,0,0,0
2020-09-24,0,0,0,0,0,0,0
2020-09-25,0,1,0,0,0,0,0
2020-09-26,0,0,0,0,0,0,0
2020-09-27,0,0,0,0,0,0,0
2020-09-28,1,2,0,0,0,0,0
2020-09-29,0,0,0,0,0,0,0
2020-09-30,0,0,0,0,1,0,0
2020-10-01,1,0,0,0,0,0,0
2020-10-02,1,1,0,0,0,0,0
2020-10-03,0,0,0,0,0,0,0
2020-10-04,0,0,0,0,0,0,0
2020-10-05,0,0,0,0,1,0,0
2020-10-06,3,0,0,0,0,0,0
2020-10-07,0,1,0,0,1,0,0
2020-10-08,0,0,0,0,1,0,0
2020-10-09,0,2,0,0,1,0,0
2020-10-10,0,0,0,0,0,0,0
2020-10-11,0,0,0,0,0,0,0
2020-10-12,0,2,0,0,0,0,0
2020-10-13,0,0,0,0,0,0,0
2020-10-14,0,0,0,0,0,0,0
2020-10-15,0,0,0,0,1,0,0
2020-10-16,0,4,0,0,0,0,0
2020-10-17,0,0,0,0,0,0,0
2020-10-18,0,0,0,0,0,0,0
2020-10-19,0,5,0,0,0,0,0
2020-10-20,1,2,0,0,0,0,0
2020-10-21,0,0,0,0,1,0,0
2020-10-22,1,3,0,0,0,0,0
2020-10-23,0,0,0,0,0,0,0
2020-10-24,0,1,0,0,1,0,0
2020-10-25,0,0,0,0,0,0,0
2020-10-26,0,0,0,0,0,0,0
2020-10-27,0,0,0,0,0,0,0
2020-10-28,0,0,0,0,1,0,0
2020-10-29,1,2,0,0,0,0,0
2020-10-30,0,1,0,0,0,0,0
2020-10-31,1,0,0,0,0,0,0
2020-11-01,2,0,0,0,1,0,0
2020-11-02,0,2,1,0,2,0,0
2020-11-03,2,2,0,0,0,0,0
2020-11-04,0,1,0,0,0,0,0
2020-11-05,1,0,0,0,0,0,0
2020-11-06,1,3,0,0,0,0,0
2020-11-07,0,0,0,0,0,0,0
2020-11-08,0,3,0,0,1,0,0
2020-11-09,0,1,0,0,0,0,0
2020-11-10,0,2,0,0,0,0,0
2020-11-11,0,4,0,0,0,0,0
2020-11-12,0,5,0,0,0,0,0
2020-11-13,2,6,0,0,0,0,0
2020-11-14,0,2,0,0,1,0,0
2020-11-15,2,0,0,0,0,0,0
2020-11-16,0,1,0,0,0,0,0
2020-11-17,1,1,0,0,0,0,0
2020-11-18,0,2,0,0,0,0,0
2020-11-19,1,1,0,0,0,0,0
2020-11-20,0,2,0,0,0,0,0
2020-11-21,0,0,0,0,0,0,0
2020-11-22,1,5,0,0,0,0,0
2020-11-23,1,0,0,0,0,0,0
2020-11-24,0,0,0,0,0,0,0
2020-11-25,0,5,0,0,0,0,0
2020-11-26,1,0,0,0,1,0,0
2020-11-27,0,14,0,0,0,0,0
2020-11-28,4,4,1,0,0,0,0
2020-11-29,0,3,0,0,0,0,0
2020-11-30,2,22,0,0,0,0,0
2020-12-01,2,1,0,0,1,0,0
2020-12-02,0,5,0,0,1,0,0
2020-12-03,0,1,0,0,0,0,0
2020-12-04,0,3,0,0,1,0,0
2020-12-05,0,3,0,0,1,0,0
2020-12-06,0,18,0,0,4,0,0
2020-12-07,0,0,0,0,0,0,0
2020-12-08,0,2,0,0,0,0,0
2020-12-09,0,0,0,0,2,0,0
2020-12-10,0,4,0,0,0,0,0
2020-12-11,0,1,0,0,0,0,0
2020-12-12,0,7,0,0,1,0,0
2020-12-13,0,1,0,0,2,0,0
2020-12-14,0,1,0,0,3,0,0
2020-12-15,0,2,0,0,0,0,0
2020-12-16,0,2,0,0,5,0,0
2020-12-17,0,3,4,0,1,0,0
2020-12-18,0,1,1,0,0,0,0
2020-12-19,0,1,0,0,3,0,0
2020-12-20,0,0,2,0,1,0,0
2020-12-21,0,0,0,0,0,0,0
2020-12-22,0,2,1,0,1,0,0
2020-12-23,0,4,0,0,2,0,0
2020-12-24,0,0,0,0,0,0,0
2020-12-25,1,3,0,0,0,0,0
2020-12-26,0,0,0,0,3,0,0
2020-12-27,0,0,0,0,2,0,0
2020-12-28,3,5,0,0,0,0,0
2020-12-29,0,1,0,0,1,0,0
2020-12-30,0,2,0,0,0,0,0
2020-12-31,0,1,0,0,1,0,0
2021-01-01,0,3,0,0,0,0,0
2021-01-02,0,5,0,0,1,0,0
2021-01-03,1,3,0,0,0,0,0
2021-01-04,1,0,0,0,2,0,0
2021-01-05,2,0,0,0,0,0,0
2021-01-06,0,1,0,0,1,0,0
2021-01-07,1,2,0,0,0,0,0
2021-01-08,3,0,0,0,0,0,0
2021-01-09,0,0,0,0,3,0,0
2021-01-10,0,0,0,0,0,0,0
2021-01-11,0,1,3,0,2,0,0
2021-01-12,0,2,2,0,0,0,0
2021-01-13,0,1,0,0,3,0,0
2021-01-14,0,0,0,0,0,0,0
2021-01-15,0,1,0,0,0,0,0
2021-01-16,0,1,1,0,6,0,0
2021-01-17,0,2,1,0,1,0,0
2021-01-18,0,4,1,0,2,0,0
2021-01-19,1,1,3,0,1,0,0
2021-01-20,0,1,1,0,0,0,0
2021-01-21,0,2,0,0,1,0,0
2021-01-22,1,4,2,0,1,0,0
2021-01-23,0,1,1,0,1,0,0
2021-01-24,0,2,2,0,1,0,0
2021-01-25,0,0,0,0,0,0,0
2021-01-26,0,0,0,0,0,1,0
2021-01-27,0,1,0,0,2,0,0
2021-01-28,0,2,0,0,0,0,0
2021-01-29,0,3,0,0,1,0,0
2021-01-30,0,6,4,0,0,0,0
2021-01-31,0,0,0,0,2,0,0
2021-02-01,0,1,0,0,0,0,0
2021-02-02,1,1,0,0,1,0,0
2021-02-03,0,0,0,0,2,0,0
2021-02-04,0,0,0,0,2,0,0
2021-02-05,0,0,1,0,3,0,0
2021-02-06,0,0,0,0,1,0,0
2021-02-07,3,0,0,0,0,0,0
2021-02-08,0,0,0,0,1,0,0
2021-02-09,0,3,1,0,1,0,0
2021-02-10,0,0,0,0,1,1,0
2021-02-11,0,1,0,0,0,0,0
2021-02-12,0,0,0,0,1,0,0
2021-02-13,0,0,0,0,0,0,0
2021-02-14,0,0,0,0,0,0,0
2021-02-15,0,0,0,0,0,0,0
2021-02-16,0,0,0,0,0,0,0
2021-02-17,0,0,0,0,1,0,0
2021-02-18,0,1,0,0,1,0,0
2021-02-19,0,1,0,0,0,0,0
2021-02-20,0,0,0,0,1,0,0
2021-02-21,0,0,0,0,0,0,0
2021-02-22,0,0,0,0,0,0,0
2021-02-23,0,0,0,0,0,0,0
2021-02-24,0,0,0,0,4,0,0
2021-02-25,0,0,0,0,5,0,0
2021-02-26,0,0,0,0,0,0,0
2021-02-27,0,1,0,0,2,0,0
2021-02-28,0,0,0,0,1,0,0
2021-03-01,0,0,0,0,0,0,0
2021-03-02,0,0,0,0,0,0,0
2021-03-03,0,3,0,0,0,0,0
2021-03-04,0,1,0,0,1,0,0
2021-03-05,0,0,0,0,0,0,0
2021-03-06,0,7,0,0,0,0,0
2021-03-07,1,0,0,0,1,0,0
2021-03-08,4,2,0,0,1,0,0
2021-03-09,0,0,0,0,1,0,0
2021-03-10,0,1,0,0,0,0,0
2021-03-11,0,0,0,0,0,0,0
2021-03-12,0,1,0,0,5,0,0
2021-03-13,0,0,0,0,0,0,0
2021-03-14,0,0,0,0,1,0,0
2021-03-15,0,2,1,0,2,0,0
2021-03-16,0,0,0,0,0,0,0
2021-03-17,0,0,0,0,0,0,0
2021-03-18,2,4,0,0,2,0,0
2021-03-19,0,4,0,0,2,0,0
2021-03-20,0,1,0,0,0,0,0
2021-03-21,0,0,0,0,1,0,0
2021-03-22,0,0,0,0,0,0,0
2021-03-23,0,0,0,0,1,0,0
2021-03-24,0,2,0,0,0,0,0
2021-03-25,0,1,0,0,2,0,0
2021-03-26,0,0,0,0,1,0,0
2021-03-27,0,1,0,0,6,0,0
2021-03-28,1,0,0,0,1,0,0
2021-03-29,0,1,0,0,0,0,0
2021-03-30,0,1,0,0,0,0,0
2021-03-31,0,2,0,0,4,0,0
2021-04-01,1,2,0,0,3,0,0
2021-04-02,0,1,0,0,2,0,0
2021-04-03,0,2,0,0,4,0,0
2021-04-04,1,1,0,0,0,0,0
2021-04-05,0,1,0,0,0,0,0
2021-04-06,2,0,0,0,0,0,0
2021-04-07,0,0,0,0,0,0,0
2021-04-08,0,0,0,0,0,0,0
2021-04-09,0,1,0,0,3,0,0
2021-04-10,0,2,0,0,0,0,0
2021-04-11,0,1,0,0,0,0,0
2021-04-12,0,1,0,0,0,0,0
2021-04-13,0,4,0,0,0,0,0
2021-04-14,0,3,0,0,2,0,0
2021-04-15,0,0,1,0,0,0,0
2021-04-16,1,0,0,0,1,0,0
2021-04-17,0,2,0,0,0,0,0
2021-04-18,1,0,0,0,0,0,0
2021-04-19,0,2,0,0,1,0,0
2021-04-20,0,0,0,0,2,0,0
2021-04-21,0,2,0,0,2,0,0
2021-04-22,0,3,0,0,1,0,0
2021-04-23,0,1,1,0,2,0,0
2021-04-24,0,2,1,0,4,0,0
2021-04-25,0,1,2,0,0,0,0
2021-04-26,2,1,1,0,0,0,0
2021-04-27,1,0,5,0,0,0,0
2021-04-28,0,1,3,0,2,0,0
2021-04-29,0,2,1,0,2,0,0
2021-04-30,0,4,0,0,3,0,0
2021-05-01,0,1,1,0,2,0,0
2021-05-02,0,0,4,0,1,0,0
2021-05-03,0,4,1,0,3,0,0
2021-05-04,1,4,1,0,2,0,0
2021-05-05,0,6,0,0,1,0,0
2021-05-06,1,11,0,0,1,0,0
2021-05-07,0,3,0,0,2,0,0
2021-05-08,0,1,2,0,2,0,0
2021-05-09,0,0,0,0,1,0,0
2021-05-10,2,5,4,0,2,2,0
2021-05-11,2,2,5,0,2,0,0
2021-05-12,1,3,14,0,3,0,0
2021-05-13,6,1,9,1,8,0,0
2021-05-14,0,4,28,0,2,0,0
2021-05-15,0,0,1,0,2,0,182
2021-05-16,0,1,2,0,0,0,201
2021-05-17,0,0,1,0,2,0,331
2021-05-18,1,4,4,0,1,0,233
2021-05-19,0,5,7,0,6,0,255
2021-05-20,0,10,1,0,3,0,279
2021-05-21,0,2,6,0,2,0,304
2021-05-22,0,0,6,0,10,0,706
2021-05-23,0,2,14,0,5,0,433
2021-05-24,1,4,6,0,4,0,579
2021-05-25,0,1,21,0,9,0,512
2021-05-26,0,1,16,0,11,1,605
2021-05-27,0,3,8,0,8,0,650
2021-05-28,1,1,15,0,1,0,536
2021-05-29,0,6,6,0,5,0,473
2021-05-30,0,0,28,0,1,0,326
2021-05-31,0,4,13,0,4,0,329
2021-06-01,0,0,19,0,13,0,299
2021-06-02,0,0,15,1,13,0,518
2021-06-03,0,0,22,0,8,0,549
2021-06-04,0,1,7,0,11,0,440
2021-06-05,0,0,29,0,2,0,473
2021-06-06,0,0,15,0,6,0,300
2021-06-07,0,1,3,0,2,0,198
2021-06-08,0,0,5,0,8,0,206
2021-06-09,0,1,12,1,5,0,254
2021-06-10,0,1,22,0,3,0,239
2021-06-11,0,0,11,0,19,0,256
2021-06-12,0,1,8,0,13,0,228
2021-06-13,0,0,4,0,7,0,164
2021-06-14,0,0,8,0,7,0,169
2021-06-15,0,2,6,0,5,0,122
2021-06-16,0,0,6,1,3,0,159
2021-06-17,0,0,11,0,2,0,162
2021-06-18,1,0,1,0,4,0,180
2021-06-19,0,1,7,0,1,0,119
2021-06-20,0,1,11,0,2,0,95
2021-06-21,0,0,3,0,1,0,70
2021-06-22,0,1,0,0,0,0,77
2021-06-23,0,0,13,0,2,0,89
2021-06-24,0,1,16,0,2,0,111
2021-06-25,0,0,4,1,0,0,71
2021-06-26,0,2,1,0,0,0,77
2021-06-27,0,1,11,0,1,0,76
2021-06-28,0,0,2,0,1,0,56
2021-06-29,0,0,3,0,3,0,48
2021-06-30,0,1,2,0,1,0,52
2021-07-01,0,0,0,0,3,0,47
2021-07-02,0,0,6,0,7,0,45
2021-07-03,0,3,4,0,1,0,72
2021-07-04,2,0,0,0,0,0,37
2021-07-05,1,2,7,0,1,0,20
2021-07-06,1,1,0,0,0,0,27
2021-07-07,1,0,9,0,0,0,30
2021-07-08,1,1,0,0,1,0,18
2021-07-09,3,1,0,0,0,0,31
2021-07-10,0,2,1,0,1,0,29
2021-07-11,3,0,1,0,3,0,24
2021-07-12,0,1,0,1,1,0,21
2021-07-13,0,1,0,0,1,0,27
2021-07-14,8,2,3,0,1,0,13
2021-07-15,1,1,3,0,2,0,11
2021-07-16,0,2,1,1,4,0,24
2021-07-17,0,2,0,0,3,0,7
2021-07-18,2,1,0,0,0,0,15
2021-07-19,2,3,1,0,2,0,13
2021-07-20,1,3,1,0,5,0,14
2021-07-21,2,6,0,0,1,0,16
2021-07-22,1,2,0,0,0,0,29
2021-07-23,0,0,5,0,0,0,19
2021-07-24,1,0,0,0,0,0,24
