date,imported,linked,unlinked,fleet,plane,unknown
2021-01-01,12,1,0,0,0,0
2021-01-02,11,1,0,0,0,0
2021-01-03,7,3,0,0,0,0
2021-01-04,13,4,0,0,0,0
2021-01-05,19,2,0,0,0,0
2021-01-06,8,3,0,0,0,0
2021-01-07,3,3,0,0,0,0
2021-01-08,0,5,0,0,0,0
2021-01-09,2,8,0,0,0,0
2021-01-10,2,13,0,0,0,0
2021-01-11,0,7,0,0,0,0
2021-01-12,0,11,0,0,0,0
2021-01-13,2,8,0,0,0,0
2021-01-14,0,12,0,0,0,0
2021-01-15,0,7,2,0,0,0
2021-01-16,0,11,1,0,0,0
2021-01-17,1,11,0,0,0,0
2021-01-18,2,14,0,0,0,0
2021-01-19,2,9,4,0,0,0
2021-01-20,1,13,0,0,0,0
2021-01-21,1,16,0,0,0,0
2021-01-22,4,8,3,0,0,0
2021-01-23,0,6,0,0,0,0
2021-01-24,2,14,0,0,0,0
2021-01-25,2,16,1,0,0,0
2021-01-26,0,13,1,0,0,0
2021-01-27,4,14,1,0,0,0
2021-01-28,1,12,0,0,0,0
2021-01-29,2,9,1,0,0,0
2021-01-30,1,13,0,0,0,0
2021-01-31,1,7,0,0,0,0
2021-02-01,0,9,0,0,0,0
2021-02-02,0,12,0,0,0,0
2021-02-03,0,10,1,0,0,0
2021-02-04,1,5,1,0,0,0
2021-02-05,0,3,1,0,0,0
2021-02-06,0,5,0,0,0,0
2021-02-07,0,6,2,0,0,0
2021-02-08,0,4,1,0,0,0
2021-02-09,1,4,0,0,0,0
2021-02-10,0,7,0,0,0,0
2021-02-11,0,4,0,0,0,0
2021-02-12,0,5,1,0,0,0
2021-02-13,1,4,1,0,0,0
2021-02-14,0,4,0,0,0,0
2021-02-15,0,11,0,0,0,0
2021-02-16,0,8,0,0,0,0
2021-02-17,0,12,0,0,0,0
2021-02-18,1,4,0,0,0,0
2021-02-19,0,3,0,0,0,0
2021-02-20,0,2,0,0,0,0
2021-02-21,0,4,1,0,0,0
2021-02-22,0,1,0,0,0,0
2021-02-23,0,1,2,0,0,0
2021-02-24,0,3,0,0,0,0
2021-02-25,0,1,0,0,0,0
2021-02-26,0,1,0,0,0,0
2021-02-27,0,2,0,0,0,0
2021-02-28,1,5,0,0,0,0
2021-03-01,3,4,0,0,0,0
2021-03-02,0,1,0,0,0,0
2021-03-03,0,2,0,0,0,0
2021-03-04,1,3,0,0,0,0
2021-03-05,1,0,0,0,0,0
2021-03-06,1,0,0,0,0,0
2021-03-07,0,2,0,0,0,0
2021-03-08,0,0,0,0,0,0
2021-03-09,0,0,0,0,0,0
2021-03-10,2,0,0,0,0,0
2021-03-11,0,0,0,0,0,0
2021-03-12,1,0,0,0,0,0
2021-03-13,2,0,0,0,0,0
2021-03-14,1,0,0,0,0,0
2021-03-15,0,0,0,0,0,0
2021-03-16,0,0,0,0,0,0
2021-03-17,0,0,0,0,0,0
2021-03-18,0,0,0,0,0,0
2021-03-19,0,0,0,0,0,0
2021-03-20,1,0,0,0,0,0
2021-03-21,1,0,0,0,0,0
2021-03-22,1,0,0,0,0,0
2021-03-23,1,0,0,0,0,0
2021-03-24,3,0,0,0,0,0
2021-03-25,1,0,0,0,0,0
2021-03-26,0,0,0,0,0,0
2021-03-27,0,0,0,0,0,0
2021-03-28,1,0,0,0,0,0
2021-03-29,2,0,0,0,0,0
2021-03-30,1,0,0,0,0,0
2021-03-31,0,0,0,0,0,0
2021-04-01,0,0,0,0,0,0
2021-04-02,1,0,0,0,0,0
2021-04-03,0,0,0,0,0,0
2021-04-04,1,0,0,0,0,0
