key,count,label,label_fr,label_zh
N_total,14350,,,
N_imported,489,,,
N_data,424,,,
Philippines,134,Philippines,Philippines,菲律賓
Indonesia,87,Indonesia,Indonésie,印尼
USA,44,USA,États-Unis,美國
India,32,India,Inde,印度
UK,17,UK,Royaume-Uni,英國
Japan,11,Japan,Japon,日本
UAE,10,UAE,EAU,阿拉伯聯合大公國
Egypt,9,Egypt,Égypte,埃及
Brazil,9,Brazil,Brésil,巴西
Paraguay,6,Paraguay,Paraguay,巴拉圭
asymptomatic,284,Asymptomatic,Asymptomatique,無症狀
cough,59,Cough,Toux,咳嗽
fever,50,Fever,Fièvre,發燒
sneezing,39,Sneezing,Éternuement,鼻腔症狀
throatache,36,Throatache,Mal de gorge,喉嚨症狀
dysnosmia,32,Dysnosmia,Dysosmie,嗅覺異常
dysgeusia,24,Dysgeusia,Dysgueusie,味覺異常
headache,19,Headache,Mal de tête,頭痛
diarrhea,15,Diarrhea,Diarrhée,腹瀉
fatigue,14,Fatigue,Fatigue,倦怠
